Total_Beds,Beds_A,Beds_B,Beds_C,Avg_Relocated_Total,Avg_Prob_Full_A,Avg_Prob_Full_B,Avg_Prob_Full_C,Avg_Util_A,Avg_Util_B,Avg_Util_C
25,12,1,12,3939.8,0.9046337365300687,0.9288985707799615,0.7982493743697946,0.95013698630137,0.938082191780822,0.9968036529680365
50,30,3,17,3055.0,0.6659295445119774,0.823693152460641,0.7151707905733911,0.8976438356164383,0.904109589041096,0.9943916196615634
75,28,4,43,2202.0,0.6737928560274281,0.7533658727985131,0.30416962723176727,0.9019765166340509,0.8743835616438357,0.9694934692577253
100,45,3,52,1437.4,0.4601893151083195,0.8082767038179448,0.18655368370155076,0.852992389649924,0.8986301369863012,0.9437091675447838
125,64,4,57,791.8,0.2373184280180781,0.755162173939066,0.12046100478252128,0.7748116438356164,0.8764383561643836,0.9263254025474644
