Total_Beds,Beds_A,Beds_B,Beds_C,Avg_Relocated_Total,Avg_Prob_Full_A,Avg_Prob_Full_B,Avg_Prob_Full_C,Avg_Util_A,Avg_Util_B,Avg_Util_C
25,1,1,23,3933.2,0.9945161387964058,0.9320521481652252,0.6212211489702748,0.9852054794520548,0.9150684931506848,0.9912328767123286
50,9,1,40,3058.8,0.9270993811435673,0.920002609300133,0.3550877679946304,0.9604261796042618,0.8936986301369864,0.9707671232876713
75,35,3,37,2215.2,0.5953716918064169,0.8059071362482315,0.39430774802585083,0.8795303326810175,0.897351598173516,0.976749352091818
100,49,1,50,1459.6,0.4503545935461707,0.9271510273406977,0.2043295387141816,0.8467878110148168,0.9199999999999999,0.9486684931506849
125,66,2,57,798.0,0.24319538873570007,0.8814630966455486,0.12153226788500682,0.7768119551681195,0.9065753424657533,0.9199519346310984
