Total_Beds,Beds_A,Beds_B,Beds_C,Avg_Relocated_Total,Avg_Prob_Full_A,Avg_Prob_Full_B,Avg_Prob_Full_C,Avg_Util_A,Avg_Util_B,Avg_Util_C
25,1,1,23,3939.0,0.9950059511611987,0.935262157549163,0.6265727225114616,0.9872146118721461,0.8940639269406393,0.9907881675600555
25,1,2,22,3959.6666666666665,0.9923140535412472,0.87881246362443,0.6394535171792531,0.9844748858447488,0.9159817351598174,0.9906185139061852
25,1,3,21,3957.6666666666665,0.9921956606753227,0.8104223487493286,0.6549897202602134,0.9844748858447488,0.9056316590563166,0.9908240921939552
25,1,4,20,3987.0,0.9920120049898234,0.7733712435840095,0.6712841872288194,0.9844748858447488,0.9079908675799087,0.9918721461187214
25,1,5,19,3974.3333333333335,0.9905336619655017,0.7017967148622084,0.6947836448606193,0.9826484018264839,0.8772602739726026,0.993270848353761
25,1,6,18,4002.6666666666665,0.989893250874999,0.6403853095568054,0.7088799840988473,0.9753424657534246,0.8742770167427701,0.9939624556062912
25,1,7,17,4047.0,0.9901785714285714,0.6029621314379431,0.7297497621377317,0.9744292237442922,0.8748858447488584,0.9936610260542573
25,1,8,16,4058.0,0.9900586754392914,0.5329566711104754,0.7367158832425669,0.9799086757990868,0.8213470319634704,0.9952625570776256
25,1,9,15,4090.6666666666665,0.9885957499499899,0.5029575702597228,0.7641935382629456,0.9789954337899544,0.8118721461187214,0.9951293759512937
25,1,10,14,4068.0,0.9880157309497365,0.47267693342873,0.7743849111999991,0.9799086757990868,0.8122374429223744,0.9951728636660143
25,1,11,13,4062.3333333333335,0.9859450687534673,0.4051387049803459,0.7902819222195925,0.9808219178082193,0.8161892901618929,0.9954337899543378
25,1,12,12,4074.6666666666665,0.9852543459179838,0.3427673333192726,0.8023936229561918,0.978082191780822,0.7885083713850838,0.9963470319634703
25,1,13,11,4109.666666666667,0.9875699185012096,0.33292651919654204,0.8198643340140066,0.9853881278538813,0.753705655075518,0.9966791199667911
25,1,14,10,4146.333333333333,0.9866455845776141,0.27816627816627815,0.8408857733424383,0.9799086757990868,0.7099804305283758,0.9975342465753426
25,1,15,9,4141.0,0.984330608729484,0.24834049294170227,0.8556968590470008,0.978082191780822,0.7263318112633182,0.997970573313039
25,1,16,8,4142.0,0.9834911721805798,0.18904479400343144,0.8686387451107652,0.9771689497716896,0.7005707762557077,0.9979452054794521
25,1,17,7,4186.0,0.9843659782455605,0.19406226712733118,0.8834934631312024,0.9744292237442922,0.6928820843405855,0.9983039791258971
25,1,18,6,4244.0,0.9830431348042835,0.1796277116068085,0.903925238490581,0.9789954337899544,0.6765093860984273,0.9984779299847792
25,1,19,5,4228.0,0.980767015799295,0.11039413936565072,0.9193928951979075,0.9844748858447488,0.6570535928863254,0.9985388127853881
25,1,20,4,4262.0,0.9808217993547793,0.10791389368306903,0.930850214142283,0.9863013698630138,0.6429223744292237,0.9988584474885845
25,1,21,3,4288.666666666667,0.9821670725033343,0.10934919245828396,0.9504578543569787,0.9744292237442922,0.637573385518591,0.9990867579908675
25,1,22,2,4337.0,0.9810360532750707,0.06170939624361391,0.9678866234250441,0.9853881278538813,0.604898298048983,1.0
25,1,23,1,4358.0,0.9809362773185283,0.03453579287419823,0.9833661244137213,0.9789954337899544,0.5863807822116339,1.0
25,2,1,22,3991.0,0.988423368742489,0.9380611778153307,0.6477981190453294,0.9799086757990868,0.9406392694063926,0.9916977999169779
25,2,2,21,3958.3333333333335,0.9856814613682522,0.8815824113411684,0.6566443694334295,0.9789954337899544,0.94337899543379,0.9914329202000435
25,2,3,20,3962.0,0.9863690008660714,0.8329418404830199,0.6646737537036556,0.9831050228310502,0.9159817351598174,0.9918721461187214
25,2,4,19,4001.3333333333335,0.9842957303218395,0.7636830893973751,0.6964767260962357,0.9753424657534246,0.8901826484018266,0.9921653448690219
25,2,5,18,4008.3333333333335,0.9791739033929803,0.6906405033984081,0.7247325728889873,0.9712328767123287,0.8714155251141552,0.993759512937595
