1,1,73,2621.0
1,2,72,2678.0
1,3,71,2700.0
1,4,70,2528.0
1,5,69,2550.0
1,6,68,2521.0
1,7,67,2574.0
1,8,66,2437.0
1,9,65,2678.0
1,10,64,2602.0
1,11,63,2673.0
1,12,62,2532.0
1,13,61,2466.0
1,14,60,2556.0
1,15,59,2422.0
1,16,58,2478.0
1,17,57,2594.0
1,18,56,2687.0
1,19,55,2562.0
1,20,54,2656.0
1,21,53,2699.0
1,22,52,2593.0
1,23,51,2737.0
1,24,50,2693.0
1,25,49,2727.0
1,26,48,2783.0
1,27,47,2767.0
1,28,46,2800.0
1,29,45,2737.0
1,30,44,2779.0
1,31,43,2836.0
1,32,42,3007.0
1,33,41,3113.0
1,34,40,3048.0
1,35,39,3049.0
1,36,38,3053.0
1,37,37,3043.0
1,38,36,3085.0
1,39,35,3195.0
1,40,34,3315.0
1,41,33,3187.0
1,42,32,3257.0
1,43,31,3202.0
1,44,30,3352.0
1,45,29,3351.0
1,46,28,3367.0
1,47,27,3499.0
1,48,26,3315.0
1,49,25,3505.0
1,50,24,3507.0
1,51,23,3510.0
1,52,22,3657.0
1,53,21,3724.0
1,54,20,3639.0
1,55,19,3600.0
1,56,18,3762.0
1,57,17,3674.0
1,58,16,3772.0
1,59,15,3901.0
1,60,14,3899.0
1,61,13,3940.0
1,62,12,3861.0
1,63,11,4014.0
1,64,10,3943.0
1,65,9,4017.0
1,66,8,3990.0
1,67,7,4146.0
1,68,6,3982.0
1,69,5,4150.0
1,70,4,4259.0
1,71,3,4318.0
1,72,2,4369.0
1,73,1,4390.0
2,1,72,2612.0
2,2,71,2536.0
2,3,70,2536.0
2,4,69,2481.0
2,5,68,2521.0
2,6,67,2574.0
2,7,66,2470.0
2,8,65,2457.0
2,9,64,2543.0
2,10,63,2480.0
2,11,62,2428.0
2,12,61,2475.0
2,13,60,2475.0
2,14,59,2604.0
2,15,58,2502.0
2,16,57,2623.0
2,17,56,2546.0
2,18,55,2551.0
2,19,54,2599.0
